,max_len
boydwoo_str_m5_Al_o1_o4_sra_sym_103,8.98664168551831
gmof_Zn2O8N2-DPAC_A-irmof7_A_No1105,14.258715784210661
boydwoo_str_m3_o12_o19_pcu_sym_169,8.424028811597067
gmof_Zn2O8-ADC_A-irmof7_A_No686,14.153932338153913
VIYQAY_FSR,17.255777706065402
gmof_Zn2O8N2-AZO_A-irmof7_A_No465,13.92039986076632
boydwoo_str_m4_Al_o27_o27_acs_sym_193,15.972539943982428
boydwoo_str_m3_o7_o22_pcu_sym_130,14.243914569601282
boydwoo_str_m3_o1_o4_pcu_sym_24,7.9701845980231205
ECUYAE_FSR,9.757099498834897
boydwoo_str_m3_o23_o27_pcu_sym_161,15.900718751798639
boydwoo_str_m3_o3_o6_pcu_sym_167,15.926962924978115
gmof_Zn4O13-DPAC_A-TED_A_No13,14.285387351589437
tobacco_bor_sym_3_mc_0_sym_4_on_6_L_6,13.377713511181176
HAZPIJ01_FSR,6.521614704788126
gmof_Zn4O13-BDC_A-DPAC_A_No37,14.299031232277102
core_ESIDOB_freeONLY,12.47417755956178
boydwoo_str_m3_o17_o28_pcu_sym_153,20.16778037720762
XEXMEU_FSR,11.980052043740127
MIBWEC_FSR,18.69830676628358
gmof_Uio66Zr-irmof14_A_No15,11.664843142043443
VEJYUF01_FSR,4.27540040785746
boydwoo_str_m3_o4_o28_pcu_sym_53,20.249737592561626
boydwoo_str_m5_Al_o4_o20_sra_sym_58,10.876290002603398
gmof_AlO6-ADC_A_No6,14.07121583487991
core_XOMJUE_freeONLY,11.759670343337582
pyrene_KUJZAT,18.72020992520132
INIPOM_FSR,12.23371684672413
gmof_Al2O6-DPAC_B-irmof10_B_No14,14.200331957311986
core_MUNNUF_freeONLY,15.853595005801525
gmof_Al2O6-AZO_B-fum_B_No78,14.033213830884748
boydwoo_str_m3_o16_o17_pcu_sym_262,11.616010498295148
gmof_Zn4O13-irmof8_A-TED_A_No13,9.859214700993045
GIVWAM_FSR,10.500317101073746
ROVWIK_FSR,19.999400413194188
gmof_Zn4O13-BDC_A-DPAC_A_No542,14.270925398050792
gmof_Al2O6-irmof10_B-irmof7_B_No24,11.640950258358009
core_TEBSAW_freeONLY,4.295768353000544
QOVWAB_FSR,10.207162511471138
RUZCAS_FSR,13.810779319739476
MOF-5_cooh_2_462_1,9.863605651134103
boydwoo_str_m3_o5_o25_nbo_sym_69,12.347924301325168
NIMVOW_FSR,6.153522151492817
gmof_Zn4O13-DPAC_A_No10,14.2311243802078
boydwoo_str_m3_o4_o13_pcu_sym_123,10.266229276587335
SEGDAL_FSR,15.521016369171658
UTELIQ_FSR,13.989594482153159
QINGOM_FSR,9.395780935280847
BONMAT_FSR,11.98247613509978
