,max_len
boydwoo_str_m5_Al_o11_o13_sra_sym_152,9.814136184911392
EMAHAC01_FSR,10.185398927034605
boydwoo_str_m3_o2_o23_pcu_sym_32,12.404512140784929
MAQVOR_FSR,4.376959549056767
BOZFAZ_FSR,17.09895295805793
gmof_Uio66Zr-BDC_A-irmof7_A_No225,8.269041696557887
boydwoo_str_m3_o22_o23_pcu_sym_52,12.384845417759987
core_MALFUD_freeONLY,8.72773834507286
boydwoo_str_m1_o4_o24_pcu_sym_234,7.570953252867803
SESHEG_FSR,10.365354923874678
LAGNEO_FSR,7.579703301120362
NOLVAN_FSR,8.684430931500234
boydwoo_str_m5_Al_o3_o27_sra_sym_43,15.997492424880825
boydwoo_str_m3_o8_o11_pcu_sym_254,11.452280540373069
BOKJES_FSR,7.657114494643394
gmof_Uio66Zr-irmof6_A-irmof7_A_No125,7.886215238083767
gmof_Uio66Zr-BDC_A-irmof6_A_No350,7.605101714942976
boydwoo_str_m3_o1_o10_pcu_sym_16,9.665796487804949
boydwoo_str_m5_Al_o16_o23_sra_sym_66,12.4824790202649
boydwoo_str_m3_o14_o18_pcu_sym_45,13.389240856034535
WIZXOV_FSR,10.925394171938015
VEPFAX11_FSR,14.626971005381115
GINTAA_FSR,11.960998021129882
JUCPAB_FSR,12.739122132856249
boydwoo_str_m3_o4_o24_nbo_sym_223,10.370615864885504
BASMUE_FSR,7.901237122760571
LIJYEJ_FSR,15.519094697825967
core_UVEVAT_freeONLY,8.417636138862735
LASMOJ_FSR,8.417716190278343
ENANIS_FSR,9.574997850379901
ZIKJIO_FSR,14.281224800259562
boydwoo_str_m5_Al_o11_o24_sra_sym_19,7.778006136702115
GINTAA01_FSR,9.110843801697543
YASPEP_FSR,9.91320651262022
gmof_Al2O6-AZO_B-irmof7_B_No698,14.059202386514858
PAFNES_FSR,13.076546999244254
tobacco_bor_sym_3_mc_0_sym_4_on_7_L_6,15.493729869885348
ABIWEP01_FSR,6.115757602372976
YARDIG_FSR,9.109493731562168
ATIBOU_FSR,2.2924141317544904
boydwoo_str_m7_Zn_o4_o10_bcu_sym_208,10.330111063364773
WOHYOH_FSR,6.177217190540523
FEVDIV_FSR,11.231978526415993
IJASAO01_FSR,7.517347636546752
GAJZUO_FSR,9.029325277146867
