iter	Passed	Remaining
0	0	17
1	0	14
2	0	12
3	1	15
4	1	14
5	2	14
6	2	14
7	2	14
8	3	13
9	3	13
10	4	13
11	4	13
12	5	13
13	5	12
14	5	12
15	6	11
16	6	11
17	6	10
18	7	10
19	7	10
20	7	9
21	8	9
22	8	8
23	8	8
24	9	8
25	9	7
26	9	7
27	10	7
28	10	6
29	11	6
30	11	5
31	11	5
32	12	5
33	12	4
34	12	4
35	13	4
36	13	3
37	13	3
38	13	2
39	14	2
40	14	2
41	14	1
42	14	1
43	14	1
44	15	0
45	15	0
46	15	0
