,node,linker,cat,mofkey
cifs/initialSTA26Zr1571655,['[O][Zr]123([O])[O]4[Zr]56[O]3[Zr]37([O]2[Zr]28[O]1[Zr]14([O]6[Zr]([O]53)([O]21)([O]78)([O])[O])([O])[O])([O])[O]'],['[O-]C(=O)c1ccc(cc1)C1=[C]C(=[C]C(=[C]1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]'],1,Zr.XHTGFZXVBVCVHY.MOFkey-v1
cifs/toDUT49Mn100K2014971,['[O][Mn][Mn][O]'],['[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2c1ccc(cc1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)[O-]'],0,Mn.VENUPVZYXSHACQ.MOFkey-v1
cifs/from31483716,['[OH2][Cu]'],"['[O-]C(=O)CCc1ccc(cc1)CCC(=O)[O-]', 'n1ccc(cc1)Sc1ccncc1']",0,Cu.DFOCUWFSRVQSNI.XGJOFCCBFCHEHK.MOFkey-v1
cifs/toMOF5C7desolvatedphase2040923,[],[],,NA.MISSING_LINKERS.MOFkey-v1
cifs/INITIALanie202202073sup0001nku128298k,['[Zn][Zn]'],"['[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]', 'c1ccc(cn1)c1ccc(cc1)N(c1ccc(cc1)c1cccnc1)c1ccc(cc1)c1cccnc1']",1,Zn.RXOHFPCZGPKIRD.XEUWYASFJPMQJQ.MOFkey-v1
cifs/to1934735,['[Zn]'],['[O-]C(=O)c1ccc(cc1)C=Cc1ccncc1'],1,Zn.NUMRJFUDFISUFQ.MOFkey-v1
cifs/from4in61536823,['[Ni]'],"['[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]', 'n1ccc(cc1)[N][N]c1ccncc1']",0,Ni.QMKYBPDZANOJGF.XUPMSLUFFIXCDA.MOFkey-v1
cifs/fromDMFsolvatedFebdp100K1058447,['[Fe]'],"['N1=C[C](C=N1)c1ccc(cc1)C1=C[N]N=C1', '[N]1N=CC(=C1)c1ccc(cc1)C1=CN=N[CH]1']",0,Fe.CHNJOLOTLCRFFZ.MOFkey-v1
cifs/initial11455983,"['[OH2][Zn]', '[OH2][Zn][OH2]', '[Zn]']",['[O-]C(=O)c1cc(ccc1C1([O])OOO1)c1cccc(c1C(=O)[O-])C(=O)[O-]'],0,Zn.UXUFLOXKTADWIN.MOFkey-v1
cifs/fromDUT49Ni296K1957605,['[O][Ni][Ni][O]'],"['[O-]C(=O)C1=CC2=c3cc(ccc3=N[C]2C=C1)C(=O)[O-]', '[O-]C(=O)C1=CC=C2C(=c3cc(ccc3=N2)C(=O)[O-])[CH]1']",3,Ni.OVZFQCSDINBALY.MOFkey-v1
cifs/to15or25MeCnorpXylenesolvated1977798,['*'],[],,
cifs/FrombIRMOF9DMF1572717,['*'],[],,
cifs/toSTA26ZrCchangedsymmetry1571656,['[O][Zr]123([O])[O]4[Zr]56[O]3[Zr]37([O]2[Zr]28[O]1[Zr]14([O]6[Zr]([O]53)([O]21)([O]78)([O])[O])([O])[O])([O])[O]'],"['CC1=C([C]=C(C(=C1c1ccc(cc1)C(=O)[O-])C)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]', 'Cc1c(c2ccc(cc2)C(=O)[O-])c(C)c(c(c1c1ccc(cc1)C(=O)[O-])C)c1ccc(cc1)C(=O)[O-]']",1,Zr.GGTLUAVYHDZHKA.PBPZGWJKXHZWFE.MOFkey-v1
cifs/fromassynthesizedDUT30Zn804770,['[Zn][Zn]'],['[O-]C(=O)c1ccc(cc1)c1c2ccccc2c(c2c1cccc2)c1ccc(cc1)C(=O)[O-]'],1,Zn.ZSLCDSMUKOZRPQ.MOFkey-v1
cifs/initial2110145,"['[Ca]', '[OH2][Ca]', '[OH2][Ca][OH2]']","['[C]=CC(=[CH])c1ccc(cc1)C(=C(c1ccc(cc1)c1ccc(c(c1)F)C(=O)[O-])c1ccc(cc1)C(=[CH])[CH])c1ccc(cc1)C1=C[C]=C([C]=C1)C(=O)[O-]', '[O-]C(=O)C1=[C]C=C(C=[C]1)c1ccc(cc1)C(=C(c1ccc(cc1)c1ccc(c(c1)F)C(=O)[O-])c1ccc(cc1)c1ccc(c(c1)F)C(=O)[O-])c1ccc(cc1)c1ccc(c(c1)F)C(=O)[O-]', '[O-]C(=O)[C]']",0,Ca.MBIFHZVZZZIBQO.QNLRUYHQBFXUQS.URSRWCVPRLKSQY.MOFkey-v1
cifs/from1969911,"['Cl[Co]', 'Cl[Co]Cl', '[Co]']","['C1=N[N]C=N1', '[N]1C=NN=C1']",1,Co.PEUPUKDBCPLDIH.MOFkey-v1
cifs/toja101541ssi003,['[Cd]'],"['[O-]C(=O)[C]=[CH]', 'n1ccc(cc1)c1ccncc1']",1,Cd.MWVTWFVJZLCBMC.UORVCLMRJXCDCP.MOFkey-v1
cifs/to1UPC600373K2060465,['[Ba]'],['[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]'],0,Ba.RYFYCPDCRKHALS.MOFkey-v1
cifs/fromHyFe360K1506140,['[Fe]'],['[O-]C=O'],0,Fe.BDAGIHXWWSANSR.MOFkey-v1
cifs/from11974527,['[Cd]'],['CCc1nccn1c1ccc(cc1)C(=O)[O-]'],1,Cd.TUBUQPJTMBSJNS.MOFkey-v1
cifs/todflexMOFdried975745,['[Ni]'],['[O-]C(=O)c1ccc(cc1c1cc(ccc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],0,Ni.BPFVHHLYBQRNKE.MOFkey-v1
cifs/toDUT30Znafterphasetransition804771,['[Zn][Zn]'],['[O-]C(=O)c1ccc(cc1)c1c2ccccc2c(c2c1cccc2)c1ccc(cc1)C(=O)[O-]'],1,Zn.ZSLCDSMUKOZRPQ.MOFkey-v1
cifs/fromja054913asi001,['[Ag]'],"['[C]1=N[N][C]=N1', '[N]1[C]=NN=[C]1']",0,Ag.HPSLFUDXWSWXGC.MOFkey-v1
cifs/fromFebdp25C1058446,['[Fe]'],"['[C]1C=NN=C1', '[N]1C=[C]C=N1']",1,Fe.HIGQXVYJHLMSFU.MOFkey-v1
cifs/initialMOF5C72040922,[],[],,NA.MISSING_LINKERS.MOFkey-v1
cifs/1initialMnMOF1DMF989581,['*'],[],,
cifs/to5cm6b05277si004,['[Ni]'],"['[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]', 'n1ccc(cc1)c1ccncc1']",1,Ni.MWVTWFVJZLCBMC.QMKYBPDZANOJGF.MOFkey-v1
cifs/toDUT49Zn100K2014973,['[O][Zn][Zn][O]'],['[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2c1ccc(cc1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)[O-]'],0,Zn.VENUPVZYXSHACQ.MOFkey-v1
cifs/initialsMOFs1961203,['[Cu][Cu]'],['[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-]'],1,Cu.PHQYMDAUTAXXFZ.MOFkey-v1
cifs/initial1a1016635,['[Cd]'],['[O-]C(=O)c1ccc(cc1)n1cnnc1c1ccccn1'],1,Cd.ZBXNQPWSAUHTNR.MOFkey-v1
cifs/fromja101541ssi004,['[Cd]'],"['[O-]C(=O)[C]=[CH]', 'n1ccc(cc1)c1ccncc1']",2,Cd.MWVTWFVJZLCBMC.UORVCLMRJXCDCP.MOFkey-v1
cifs/fromDUT49Co296K890364,['[O][Co][Co][O]'],"['[O-]C(=O)C1=CC2=c3cc(ccc3=N[C]2C=C1)C(=O)[O-]', '[O-]C(=O)C1=CC=C2C(=c3cc(ccc3=N2)C(=O)[O-])[CH]1']",3,Co.OVZFQCSDINBALY.MOFkey-v1
cifs/from1in5636900,['[Ni]'],['[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]'],0,Ni.QMKYBPDZANOJGF.MOFkey-v1
cifs/fromSION21503701,['[Tb]'],"['[O-]C(=O)C1=[C][C]=C([C]=[C]1)C(=O)[O-]', '[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]']",0,Tb.OYFRNYNHAZOYNF.RHFSRTQXETUEBB.MOFkey-v1
cifs/polymorphsofZIF41903495,['[Zn]'],"['C1=C[N]C=N1', 'C1=N[CH]C=N1']",1,Zn.AODALHUPEBREOC.MOFkey-v1
cifs/1cpdesMOFbacktotheinitial1944823,[],[],,NA.MISSING_LINKERS.MOFkey-v1
cifs/to26toDEEsolvated1977799,['*'],[],,
cifs/topart4,['[O][Co][Co]'],['O=C1NCc2ccc(cc2)CNC(=O)c2cc(cc(c2)C(=O)NCc2ccc(CNC(=O)c3cc1cc(c3)C(=O)[O-])cc2)C(=O)[O-]'],3,Co.OPWILJLZIKYBTD.MOFkey-v1
cifs/toCoMOF1912233,['[Co][Co]'],"['C1CN2CCN1CC2', '[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]']",0,Co.IMNIMPAHZVJRPE.RXOHFPCZGPKIRD.MOFkey-v1
cifs/toDMFsolvatedFebdp298K1058448,['[Fe]'],"['N1=C[C](C=N1)c1ccc(cc1)C1=C[N]N=C1', 'N1=NC=C([CH]1)c1ccc(cc1)C1=CN=N[CH]1', '[N]1N=CC(=C1)c1ccc(cc1)C1=C[N]N=C1']",0,Fe.CHNJOLOTLCRFFZ.MOFkey-v1
cifs/2to101045134,['[Zn]'],['n1ncn(c1)[N][N]n1cnnc1'],1,Zn.HYKRXUIBPGRUFN.MOFkey-v1
